id,id_competition,year
56953,1,2024
26542,1,2021
11098,1,2016
4136,1,2012
1162,1,2008
356,1,2004
358,1,2000
27053,1,1996
27052,1,1992
27051,1,1988
27048,1,1984
27046,1,1980
27049,1,1976
27050,1,1972
27047,1,1968
27045,1,1964
27044,1,1960
57114,133,2024
26681,133,2021
22352,133,2019
11115,133,2016
9576,133,2015
3125,133,2011
66001,213,24/25
56121,213,23/24
42898,213,22/23
39458,213,21/22
35083,213,20/21
26219,213,19/20
17795,213,17/18
13871,213,16/17
11830,213,15/16
10507,213,14/15
8130,213,13/14
6389,213,12/13
4656,213,11/12
3367,213,10/11
2856,213,09/10
2123,213,08/09
1698,213,07/08
58210,16,2026
41087,16,2022
15586,16,2018
7528,16,2014
2531,16,2010
16,16,2006
2636,16,2002
1151,16,1998
17571,16,1994
17570,16,1990
17569,16,1986
17568,16,1982
17567,16,1978
17566,16,1974
17565,16,1970
17564,16,1966
17563,16,1962
17562,16,1958
17561,16,1954
40714,16,1950
17560,16,1938
17559,16,1934
40712,16,1930
61644,7,24/25
52162,7,23/24
41897,7,22/23
36886,7,21/22
29267,7,20/21
23766,7,19/20
17351,7,18/19
13415,7,17/18
11773,7,16/17
10390,7,15/16
8226,7,14/15
6359,7,13/14
4788,7,12/13
3402,7,11/12
2764,7,10/11
1825,7,09/10
1664,7,08/09
603,7,07/08
15,7,06/07
14,7,05/06
13,7,04/05
12,7,03/04
61645,679,24/25
53654,679,23/24
44509,679,22/23
37725,679,21/22
29343,679,20/21
23755,679,19/20
17352,679,18/19
13416,679,17/18
11774,679,16/17
10391,679,15/16
8228,679,14/15
6361,679,13/14
4790,679,12/13
3403,679,11/12
2765,679,10/11
2155,679,09/10
46599,27,2024
19857,27,2021
7802,27,2016
2613,27,2012
36,27,2008
355,27,2004
357,27,2000
61627,17,24/25
52186,17,23/24
41886,17,22/23
37036,17,21/22
29415,17,20/21
23776,17,19/20
17359,17,18/19
13380,17,17/18
11733,17,16/17
10356,17,15/16
8186,17,14/15
6311,17,13/14
4710,17,12/13
3391,17,11/12
2746,17,10/11
2139,17,09/10
1544,17,08/09
581,17,07/08
4,17,06/07
3,17,05/06
2,17,04/05
1,17,03/04
46,17,02/03
47,17,01/02
48,17,00/01
49,17,99/00
50,17,98/99
51,17,97/98
25682,17,96/97
25681,17,95/96
29167,17,94/95
25680,17,93/94
67958,19,24/25
55978,19,23/24
41913,19,22/23
39384,19,21/22
34650,19,20/21
25944,19,19/20
19402,19,18/19
15100,19,17/18
12550,19,16/17
11016,19,15/16
9506,19,14/15
6871,19,13/14
5413,19,12/13
3967,19,11/12
3078,19,10/11
2460,19,09/10
1859,19,08/09
61643,8,24/25
52376,8,23/24
42409,8,22/23
37223,8,21/22
32501,8,20/21
24127,8,19/20
18020,8,18/19
13662,8,17/18
11906,8,16/17
10495,8,15/16
8578,8,14/15
6559,8,13/14
4959,8,12/13
3502,8,11/12
2896,8,10/11
2252,8,09/10
1587,8,08/09
669,8,07/08
102,8,06/07
101,8,05/06
100,8,04/05
99,8,03/04
70,8,02/03
71,8,01/02
72,8,00/01
73,8,99/00
74,8,98/99
75,8,97/98
25689,8,96/97
25690,8,95/96
25688,8,94/95
25687,8,93/94
63516,35,24/25
52608,35,23/24
42268,35,22/23
37166,35,21/22
28210,35,20/21
23538,35,19/20
17597,35,18/19
13477,35,17/18
11818,35,16/17
10419,35,15/16
8238,35,14/15
6303,35,13/14
4792,35,12/13
3405,35,11/12
2811,35,10/11
2188,35,09/10
1557,35,08/09
525,35,07/08
94,35,06/07
93,35,05/06
92,35,04/05
91,35,03/04
90,35,02/03
103,35,01/02
104,35,00/01
105,35,99/00
106,35,98/99
107,35,97/98
13088,35,92/93
76457,23,25/26
63515,23,24/25
52760,23,23/24
42415,23,22/23
37475,23,21/22
32523,23,20/21
24644,23,19/20
17932,23,18/19
13768,23,17/18
11966,23,16/17
10596,23,15/16
8618,23,14/15
6797,23,13/14
5145,23,12/13
3639,23,11/12
2930,23,10/11
2324,23,09/10
1552,23,08/09
712,23,07/08
98,23,06/07
97,23,05/06
96,23,04/05
95,23,03/04
80,23,02/03
81,23,01/02
82,23,00/01
83,23,99/00
84,23,98/99
85,23,97/98
61736,34,24/25
52571,34,23/24
42273,34,22/23
37167,34,21/22
28222,34,20/21
23872,34,19/20
17279,34,18/19
13384,34,17/18
11648,34,16/17
10373,34,15/16
8122,34,14/15
6271,34,13/14
4616,34,12/13
3380,34,11/12
2719,34,10/11
2120,34,09/10
1542,34,08/09
534,34,07/08
56,34,06/07
57,34,05/06
58,34,04/05
59,34,03/04
60,34,02/03
61,34,01/02
62,34,00/01
63,34,99/00
64,34,98/99
65,34,97/98
61666,37,24/25
52554,37,23/24
42256,37,22/23
36890,37,21/22
29186,37,20/21
23873,37,19/20
17353,37,18/19
13399,37,17/18
11777,37,16/17
10370,37,15/16
8170,37,14/15
6267,37,13/14
4746,37,12/13
3432,37,11/12
2745,37,10/11
2144,37,09/10
1711,37,08/09
62483,21,24/25
52393,21,23/24
42443,21,22/23
37177,21,21/22
29404,21,20/21
24004,21,19/20
17400,21,18/19
13389,21,17/18
11794,21,16/17
10397,21,15/16
8184,21,14/15
6295,21,13/14
4706,21,12/13
3387,21,11/12
2742,21,10/11
2138,21,09/10
1555,21,08/09
58337,10783,24/25
40128,10783,22/23
27595,10783,20/21
16000,10783,18/19
72034,325,2025
58766,325,2024
48982,325,2023
40557,325,2022
36166,325,2021
27591,325,20/21
22931,325,2019
16183,325,2018
13100,325,2017
11429,325,2016
10173,325,2015
7778,325,2014
6075,325,2013
4438,325,2012
3311,325,2011
2684,325,2010
2079,325,2009
1223,325,2008
61648,17015,24/25
52327,17015,23/24
42224,17015,22/23
37074,17015,21/22
69619,357,2025
54799,357,23/24
48107,357,22/23
39952,357,21/22
35183,357,20/21
26177,357,19/20
18694,357,18/19
15363,357,17/18
12727,357,16/17
11090,357,15/16
9529,357,14/15
6209,357,13/14
5661,357,12/13
4110,357,11/12
3093,357,10/11
2519,357,09/10
1907,357,08/09
71636,270,25/26
56021,270,2023
38181,270,2021
23112,270,2019
12586,270,2017
9596,270,2015
5621,270,2013
4056,270,2012
1138,270,2010
70083,384,2025
57296,384,2024
47974,384,2023
40174,384,2022
35576,384,2021
26785,384,2020
19989,384,2019
15806,384,2018
12772,384,2017
11155,384,2016
9691,384,2015
7568,384,2014
5788,384,2013
4122,384,2012
3181,384,2011
2561,384,2010
1959,384,2009
53820,295,23/25
26781,295,2022
10583,295,2018
3554,295,2014
984,295,2010
1487,295,2006
69427,11,2026
35021,11,2022
10585,11,2018
3657,11,2014
1152,11,2010
25,11,2006
71944,373,2025
58134,373,2024
48876,373,2023
40438,373,2022
35829,373,2021
26773,373,2020
19960,373,2019
15906,373,2018
12862,373,2017
11349,373,2016
9804,373,2015
7770,373,2014
5984,373,2013
4398,373,2012
3285,373,2011
2614,373,2010
2006,373,2009
59243,436,2024
36417,436,2021
11442,436,2016
4526,436,2012
1394,436,2008
64021,1054,24/25
53661,1054,23/24
44968,1054,22/23
38336,1054,21/22
34871,1054,20/21
24785,1054,19/20
19809,1054,18/19
16303,1054,2018
12962,1054,2017
11363,1054,2016
9654,1054,2015
7596,1054,2014
6093,1054,2013
4532,1054,2012
56249,13,2025
24680,13,2022
10586,13,2018
3877,13,2014
1002,13,2010
51384,246,2023
16919,246,2019
7918,246,2015
2696,246,2011
72603,390,2025
59015,390,2024
49058,390,2023
40560,390,2022
36162,390,2021
27593,390,2020
22932,390,2019
16184,390,2018
13101,390,2017
11430,390,2016
10189,390,2015
7780,390,2014
6143,390,2013
4480,390,2012
3346,390,2011
2685,390,2010
2080,390,2009
1224,390,2008
46930,290,2023
19902,290,2019
9602,290,2015
3144,290,2011
53508,308,23-25
23606,308,2022
10187,308,2018
3319,308,2014
1000,308,2010
1520,308,2006
59242,437,2024
36542,437,2021
11443,437,2016
4528,437,2012
1396,437,2008
58146,14,2025
29436,14,2022
10191,14,2018
3358,10618,2014
1154,14,2010
70291,14602,2025
57287,14602,2024
48263,14602,2023
40284,14602,2022
36202,14602,2021
26912,14602,2020
41103,10618,2022
15012,10618,2018
64335,309,2024
40003,309,2022
10584,309,2018
4054,309,2014
1001,309,2010
